FTPS,PS,assisting,be_shoot,clearance_kick,critical_miss,dribble,flying_header,foul,fumble,goals,great_opportunity,intercept,key_pass,mark,name,offside,pass_completed_rate,pass_total,possession,seize_the_opportunity,shoot_on_target,shoot_total,violated
,,,,,,,16.3,,,,,,,7.05,利物浦,,80.7,,,,,,
,,,,,,,10.3,,,,,,,6.61,诺维奇,,83.6,,,,,,
,,,,,,,13.5,,,,,,,7.27,曼城,,88.8,,,,,,
,,,,,,,16.5,,,,,,,6.77,西汉姆联,,79.3,,,,,,
,,,,,,,22,,,,,,,6.7,伯恩利,,61.3,,,,,,
,,,,,,,19.5,,,,,,,6.57,布莱顿,,80.3,,,,,,
,,,,,,,17.8,,,,,,,6.57,伯恩茅斯,,75.6,,,,,,
,,,,,,,21,,,,,,,6.78,水晶宫,,73.6,,,,,,
,,,,,,,23,,,,,,,6.65,谢菲尔德联,,77.2,,,,,,
,,,,,,,24.3,,,,,,,6.75,埃弗顿,,78.1,,,,,,
,,,,,,,20.3,,,,,,,6.45,沃特福德,,78.3,,,,,,
,,,,,,,17.5,,,,,,,6.54,南安普顿,,69.3,,,,,,
,,,,,,,10.5,,,,,,,6.74,热刺,,86.9,,,,,,
,,,,,,,17,,,,,,,6.69,阿斯顿维拉,,79.6,,,,,,
,,,,,,,18,,,,,,,6.87,莱斯特城,,80.8,,,,,,
,,,,,,,25,,,,,,,6.63,狼队,,74.2,,,,,,
,,,,,,,15.3,,,,,,,6.8,阿森纳,,85,,,,,,
,,,,,,,16,,,,,,,6.67,纽卡斯尔,,77.2,,,,,,
,,,,,,,20.8,,,,,,,6.84,曼联,,83.5,,,,,,
,,,,,,,17,,,,,,,6.71,切尔西,,84.2,,,,,,
