FTPS,PS,assisting,be_shoot,clearance_kick,critical_miss,dribble,flying_header,foul,fumble,goals,great_opportunity,intercept,key_pass,mark,name,offside,pass_completed_rate,pass_total,possession,seize_the_opportunity,shoot_on_target,shoot_total,violated
,,,,,,10,,,,12,12,,,,,0.8,,,,41.7,6.3,17.5,8
,,,,,,11,,,,6,5,,,,,2.5,,,,60,5.3,10.3,10.5
,,,,,,8.8,,,,14,17,,,,,3,,,,64.7,7.5,19.3,5.8
,,,,,,14.5,,,,6,10,,,,,2.5,,,,50,6,11.8,11.5
,,,,,,7.3,,,,5,5,,,,,3,,,,40,3.8,12,11.5
,,,,,,8.3,,,,4,10,,,,,2.3,,,,20,3,9.8,10.8
,,,,,,8,,,,5,7,,,,,1.5,,,,42.9,4,10.8,12.3
,,,,,,8,,,,3,3,,,,,1.8,,,,33.3,3.5,9.8,12.5
,,,,,,8.3,,,,5,8,,,,,0.5,,,,37.5,2.5,9.5,7.8
,,,,,,11.5,,,,4,7,,,,,1.3,,,,28.6,3,12.3,12
,,,,,,7.8,,,,2,5,,,,,0.5,,,,20,2.8,13.8,9.5
,,,,,,8,,,,4,8,,,,,1.3,,,,12.5,3,11.8,6.3
,,,,,,11.3,,,,7,8,,,,,1,,,,37.5,5,16,10
,,,,,,8.3,,,,4,4,,,,,3.3,,,,50,4,11.3,14.5
,,,,,,11.3,,,,6,7,,,,,2.5,,,,57.1,2.8,12.8,10.3
,,,,,,10,,,,4,5,,,,,1.3,,,,60,2.8,9.8,8
,,,,,,13.5,,,,6,6,,,,,3.8,,,,50,5.5,14.5,11.3
,,,,,,8.5,,,,3,3,,,,,3,,,,33.3,3.5,10.5,9.3
,,,,,,9.5,,,,7,9,,,,,1,,,,33.3,4.5,15.8,15.5
,,,,,,14.3,,,,6,9,,,,,1.3,,,,33.3,6.3,17,12
