FTPS,PS,assisting,be_shoot,clearance_kick,critical_miss,dribble,flying_header,foul,fumble,goals,great_opportunity,intercept,key_pass,mark,name,offside,pass_completed_rate,pass_total,possession,seize_the_opportunity,shoot_on_target,shoot_total,violated
74.4,80.7,9,,,,,,,,,,,14.3,,,,,532,55.8,,,,
72.9,83.6,5,,,,,,,,,,,8.5,,,,,482.8,51.2,,,,
78.8,88.8,13,,,,,,,,,,,16.5,,,,,619.5,58,,,,
69.6,79.3,3,,,,,,,,,,,9.3,,,,,409,46,,,,
47.7,61.3,3,,,,,,,,,,,8.5,,,,,297.5,41.5,,,,
66.2,80.3,2,,,,,,,,,,,8.3,,,,,459.8,50.9,,,,
64.1,75.6,1,,,,,,,,,,,7.8,,,,,365,42.4,,,,
59.9,73.6,1,,,,,,,,,,,6.5,,,,,345.3,44.8,,,,
68.1,77.2,2,,,,,,,,,,,6.5,,,,,407.5,45.6,,,,
67.2,78.1,4,,,,,,,,,,,9.5,,,,,448.3,55.8,,,,
63.8,78.3,1,,,,,,,,,,,10.3,,,,,440.8,51.6,,,,
53.4,69.3,3,,,,,,,,,,,7.5,,,,,363.8,45.7,,,,
79.6,86.9,4,,,,,,,,,,,11.5,,,,,559,56.3,,,,
70.6,79.6,4,,,,,,,,,,,9.5,,,,,351,46.4,,,,
65.1,80.8,6,,,,,,,,,,,9.8,,,,,528.8,54.7,,,,
67.1,74.2,2,,,,,,,,,,,7.5,,,,,386.5,45,,,,
75.5,85,5,,,,,,,,,,,11.5,,,,,528,56,,,,
65.3,77.2,3,,,,,,,,,,,8.3,,,,,342.5,40.2,,,,
75.5,83.5,6,,,,,,,,,,,11.8,,,,,554,57.8,,,,
75.8,84.2,3,,,,,,,,,,,13.8,,,,,557.8,54.1,,,,
