confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
55,2018-10-06 22:00,3,,,4,客,9,7.4,0,14,83,47,387,2,450,1,,53%,第8轮,0 : 4,2,7,2,5,10
47,2018-11-10 23:00,5,,,1,客,18,6.68,0,23,79,41,471,1,536,0,,61%,第12轮,2 : 1,1,4,8,5,14
44,2018-12-15 23:00,12,,,0,客,8,6.32,0,19,85,52,583,1,655,0,,62%,第17轮,2 : 0,0,3,2,9,11
25,2018-10-27 22:00,7,,,3,客,7,7.13,0,23,85,49,449,5,526,1,,48%,第10轮,0 : 3,1,5,1,9,12
47,2018-08-18 22:00,13,,,2,客,10,6.96,0,11,77,45,277,3,336,0,,39%,第2轮,1 : 2,0,5,2,10,12
44,2019-03-30 23:00,9,,,0,客,15,6.29,0,12,79,43,387,0,442,0,,41%,第32轮,2 : 0,0,2,1,7,8
67,2018-12-01 23:00,8,,,1,客,6,6.41,0,9,73,51,239,0,299,0,,27%,第14轮,3 : 1,0,1,1,2,3
53,2019-01-13 22:15,9,,,0,客,14,6.55,0,23,69,64,316,2,405,0,,49%,第22轮,2 : 0,2,7,8,6,16
43,2019-02-03 01:30,21,,,0,客,13,6.47,0,21,83,39,579,0,639,0,,73%,第25轮,2 : 0,0,2,3,6,9
50,2018-12-31 00:30,6,,,1,客,8,6.1,0,13,80,45,317,1,376,0,,35%,第20轮,4 : 1,0,3,2,3,5
60,2019-02-28 03:45,6,,,1,客,16,6.13,0,16,80,50,299,3,368,0,,35%,第28轮,5 : 1,0,5,2,11,13
55,2019-04-13 22:00,8,,,5,客,22,7.73,0,7,80,44,439,2,492,0,,50%,第34轮,0 : 5,1,7,1,12,14
42,2019-02-09 23:00,11,,,0,客,13,6.27,0,14,77,48,321,1,384,0,,34%,第26轮,3 : 0,0,2,2,9,11
41,2018-09-01 22:00,3,,,0,客,14,6.39,0,15,69,40,222,0,277,0,,27%,第4轮,2 : 0,0,1,2,4,6
65,2018-12-26 23:00,2,,,0,客,16,5.84,0,17,81,63,392,3,475,0,,43%,第19轮,5 : 0,0,4,2,12,14
54,2019-05-12 22:00,12,,,3,客,18,6.66,0,21,83,47,475,0,543,0,,55%,第38轮,5 : 3,0,8,4,12,16
38,2019-04-27 22:00,5,,,3,客,19,6.62,0,11,77,52,410,1,474,0,,56%,第36轮,3 : 3,3,5,3,3,9
35,2019-03-09 23:00,11,,,2,客,19,7.11,0,9,70,58,310,6,383,0,,43%,第30轮,0 : 2,1,5,1,6,8
46,2018-09-22 22:00,11,,,0,客,8,6.22,0,26,82,49,561,1,637,0,,62%,第6轮,4 : 0,0,5,6,13,19
