confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
40,2018-09-18 03:00,9,,,2,主,16,6.68,0,13,79,77,394,2,486,1,,51%,第5轮,2 : 2,0,5,4,9,14
50,2018-12-16 21:30,4,,,3,主,20,6.9,0,14,74,51,271,1,337,0,,34%,第17轮,3 : 2,1,7,3,8,12
52,2018-08-25 22:00,11,,,1,主,18,6.45,0,28,84,62,386,1,477,0,,52%,第3轮,1 : 2,0,5,6,6,12
41,2018-10-07 21:15,2,,,0,主,21,6.35,0,11,79,69,282,0,362,0,,35%,第8轮,0 : 3,0,6,3,12,15
48,2018-08-12 20:30,8,,,0,主,16,6.9,0,22,76,61,309,2,394,0,,48%,第1轮,0 : 0,0,3,4,14,18
58,2018-10-27 22:00,9,,,0,主,13,6.95,0,31,75,58,351,0,440,0,,50%,第10轮,0 : 0,0,4,2,20,22
55,2018-11-10 23:00,9,,,1,主,17,6.9,0,18,69,66,243,0,327,0,,42%,第12轮,1 : 1,0,4,6,8,14
51,2019-01-31 03:45,4,,,1,主,24,6.67,0,21,82,49,487,0,557,0,,59%,第24轮,1 : 1,0,4,2,11,13
47,2018-12-28 03:45,17,,,1,主,25,6.65,0,17,77,54,359,1,431,0,,46%,第19轮,1 : 2,0,5,1,10,11
47,2019-03-09 23:00,8,,,2,主,15,6.85,0,18,70,70,224,0,312,0,,37%,第30轮,2 : 1,2,4,1,9,12
38,2019-02-09 23:00,14,,,1,主,20,6.58,0,20,79,51,493,1,565,0,,67%,第26轮,1 : 2,0,7,5,9,14
63,2019-05-12 22:00,13,,,1,主,12,6.63,0,15,73,62,388,2,467,0,,54%,第38轮,1 : 1,1,3,0,9,10
62,2019-04-27 22:00,10,,,3,主,25,6.91,0,27,74,57,293,1,378,0,,44%,第36轮,3 : 3,0,7,8,14,22
56,2019-01-19 23:00,6,,,2,主,20,6.99,1,20,68,59,246,2,327,0,,39%,第23轮,2 : 1,1,4,3,7,12
58,2019-04-06 03:00,5,,,1,主,16,6.44,0,20,64,73,202,0,295,0,,33%,第33轮,1 : 3,0,1,7,4,11
48,2018-12-30 22:15,4,,,1,主,25,6.31,0,10,67,51,184,1,246,0,,23%,第20轮,1 : 3,0,4,3,2,5
26,2018-12-02 01:30,9,,,2,主,20,6.75,0,13,78,57,299,3,372,0,,40%,第14轮,2 : 2,0,6,6,10,16
44,2019-04-13 22:00,11,,,3,主,23,7.08,0,5,64,65,215,2,287,0,,31%,第34轮,3 : 1,1,6,5,6,12
47,2019-02-28 03:45,6,,,2,主,22,7.34,0,19,78,59,326,0,404,0,,41%,第28轮,2 : 0,0,4,5,9,14
