confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
64,2018-10-06 22:00,5,,,0,客,16,6.49,0,8,62,68,156,1,233,0,,24%,第8轮,1 : 0,0,6,2,6,8
49,2018-08-11 22:00,9,,,0,客,22,6.5,0,18,61,77,211,1,307,0,,37%,第1轮,2 : 0,0,1,3,7,10
56,2018-09-15 22:00,6,,,1,客,13,6.29,0,10,59,68,159,0,237,0,,23%,第5轮,4 : 1,0,2,3,2,5
51,2018-12-05 03:45,12,,,1,客,14,6.46,0,12,69,59,241,2,314,1,,39%,第15轮,3 : 1,0,5,3,5,9
56,2018-08-25 22:00,3,,,0,客,19,6.8,0,15,67,63,232,0,310,0,,42%,第3轮,0 : 0,0,4,1,12,13
38,2018-12-15 23:00,3,,,1,客,17,6.48,0,13,62,70,184,2,269,0,,28%,第17轮,3 : 2,0,3,0,6,6
33,2019-03-02 23:00,7,,,0,客,17,6.3,0,20,68,60,298,0,378,0,,44%,第29轮,2 : 0,0,4,7,5,12
42,2019-05-12 22:00,8,,,2,客,16,7.14,0,5,57,72,152,0,229,1,,26%,第38轮,0 : 2,0,4,4,8,13
53,2019-04-13 22:00,5,,,0,客,9,6.44,0,14,66,94,253,3,364,0,,54%,第34轮,2 : 0,0,2,4,10,14
44,2018-10-27 22:00,8,,,1,客,14,6.24,0,7,59,55,160,0,222,0,,20%,第10轮,4 : 1,0,1,0,2,2
43,2018-12-29 23:00,5,,,1,客,15,7.06,0,16,69,55,216,3,290,0,,38%,第20轮,0 : 1,0,3,2,7,9
51,2019-04-27 22:00,13,,,0,客,28,6.71,0,19,65,56,166,1,242,0,,27%,第36轮,1 : 0,1,8,3,9,13
45,2019-04-17 02:45,11,,,2,客,29,7.37,0,7,61,73,225,4,309,0,,36%,第31轮,0 : 2,0,3,5,5,10
70,2019-01-30 03:45,4,,,1,客,16,6.52,0,16,69,61,173,0,250,0,,29%,第24轮,2 : 1,0,2,5,14,19
42,2019-01-19 23:00,9,,,0,客,25,6.36,0,22,66,73,258,1,354,0,,47%,第23轮,3 : 0,0,1,5,4,9
52,2018-12-26 23:00,5,,,0,客,20,7.03,0,10,67,71,235,1,317,0,,38%,第19轮,0 : 0,0,4,1,8,9
48,2018-11-24 23:00,0,,,0,客,16,6.47,0,8,52,68,151,1,228,0,,29%,第13轮,1 : 0,0,1,4,2,6
52,2019-04-04 02:45,10,,,0,客,14,6.34,0,6,66,59,127,0,192,0,,21%,第33轮,2 : 0,0,1,3,1,4
63,2019-02-09 23:00,3,,,2,客,17,6.85,0,14,58,73,196,2,285,0,,33%,第26轮,1 : 2,0,3,3,3,6
