confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
67,2018-08-18 22:00,6,,,3,主,12,7.03,0,27,89,53,579,2,661,0,,60%,第2轮,3 : 1,1,11,4,20,25
36,2018-10-06 22:00,12,,,1,主,18,7.04,0,17,86,40,651,1,709,0,,76%,第8轮,1 : 0,1,7,3,15,19
52,2018-10-30 04:00,7,,,0,主,17,6.35,0,13,80,76,405,2,496,0,,48%,第10轮,0 : 1,1,1,1,2,4
60,2018-09-15 19:30,7,,,1,主,9,6.49,0,12,81,66,493,2,573,0,,60%,第5轮,1 : 2,0,3,3,8,11
59,2018-11-25 01:30,12,,,3,主,12,7.17,0,10,76,67,306,1,384,0,,40%,第13轮,3 : 1,1,9,6,11,18
70,2018-12-06 04:00,4,,,3,主,9,7.06,0,15,83,57,476,1,549,0,,52%,第15轮,3 : 1,1,8,6,6,13
61,2019-04-13 19:30,14,,,4,主,16,7.56,0,12,87,27,712,3,754,0,,70%,第34轮,4 : 0,2,5,6,14,22
46,2018-12-29 23:00,9,,,1,主,18,6.36,0,14,88,53,614,3,684,0,,61%,第20轮,1 : 3,0,3,3,7,10
42,2019-01-14 00:30,8,,,0,主,19,6.75,0,21,84,58,514,6,599,0,,61%,第22轮,0 : 1,1,11,6,14,21
41,2019-02-10 21:30,8,,,3,主,14,7.07,0,16,84,63,448,0,527,0,,53%,第26轮,3 : 1,1,5,2,9,12
48,2019-04-24 02:45,8,,,1,主,15,7,0,26,88,36,680,1,743,0,,78%,第33轮,1 : 0,0,5,7,22,29
41,2019-05-12 22:00,7,,,2,主,21,6.74,0,13,83,52,495,2,562,0,,55%,第38轮,2 : 2,1,3,5,5,11
47,2019-01-31 04:00,15,,,2,主,16,6.89,0,42,86,72,518,1,633,0,,69%,第24轮,2 : 1,0,3,4,12,16
65,2019-04-04 02:45,17,,,2,主,16,7.25,0,24,87,52,630,7,713,0,,65%,第31轮,2 : 0,4,10,6,16,26
60,2019-03-02 20:30,12,,,1,主,14,6.64,0,16,78,90,427,1,534,1,,60%,第29轮,1 : 1,0,3,3,7,11
35,2018-12-26 23:00,12,,,5,主,12,7.59,0,10,87,64,542,3,619,0,,57%,第19轮,5 : 0,0,7,1,9,10
43,2018-12-15 23:00,5,,,1,主,7,6.73,0,26,85,74,553,2,655,0,,70%,第17轮,1 : 0,0,3,6,9,15
76,2019-04-27 19:30,20,,,0,主,20,6.78,0,12,82,51,572,8,643,0,,63%,第36轮,0 : 1,0,4,1,13,14
53,2019-02-02 20:30,9,,,1,主,10,7.03,0,38,87,58,687,4,787,0,,72%,第25轮,1 : 0,0,4,9,12,21
