aerialDuelScc,aerialsWon,assists,bigChanceCreated,clearances,dribblesWon,errorsSum,finalThirdPass,finalThirdPassAcc,fouled,fouls,goals,goalsLost,interceptions,keyPasses,offsideWon,offsides,passSucc,passes,possession,rate,redCards,shots,shotsOT,tacklesSuccful,teamId,teamName,yelCards
0.45,18,2,4,19,8,0,171,134,9,10,2,0,6,18,2,1,0.867347,490,0.619718,7.435833,0,17,8,15,7,阿斯顿维拉,1
0.425926,23,0,6,29,8,1,82,40,14,13,3,0,12,5,2,2,0.637097,248,0.381089,7.351667,0,11,5,6,20,伯恩利,3
0.510638,24,1,4,35,10,0,104,67,11,11,2,0,9,9,0,0,0.710098,307,0.426908,7.233571,0,13,5,18,209,诺维奇,5
0.55,11,1,7,22,9,1,98,69,8,1,2,0,12,12,2,1,0.825359,418,0.474138,7.115,0,19,9,17,10,莱斯特城,0
0.647059,22,1,1,27,7,0,123,94,10,12,2,1,6,12,0,4,0.870334,509,0.533534,7.061667,0,18,8,11,269,狼队,1
0.55102,27,3,5,15,11,0,107,67,11,14,3,2,9,12,4,6,0.806794,471,0.528899,6.985714,0,15,6,19,3,热刺,2
0.625,15,0,2,17,20,1,131,99,19,13,2,2,15,8,1,2,0.829569,487,0.61007,6.980714,0,12,5,25,12,阿森纳,6
0.533333,24,1,2,29,3,0,137,91,8,7,2,1,6,10,3,0,0.815686,510,0.599555,6.955714,0,12,4,24,13,利物浦,1
0.375,9,1,5,21,13,0,106,74,12,19,2,2,16,15,2,1,0.743671,316,0.38993,6.759286,0,21,6,18,15,南安普顿,2
0.631579,12,1,1,12,10,1,128,92,9,5,2,1,10,9,4,3,0.854839,558,0.466613,6.751429,0,15,4,15,11,曼城,1
0.511111,23,2,2,21,9,1,150,106,13,10,3,3,9,9,3,1,0.810903,587,0.594303,6.704286,0,11,5,10,2,曼联,2
0.488889,22,2,3,21,8,1,152,100,9,13,3,3,16,8,1,3,0.723238,383,0.405697,6.659286,0,12,8,13,507,谢菲尔德联,1
0.368421,7,1,1,23,16,2,104,83,5,9,1,2,17,8,3,4,0.891304,644,0.533387,6.652857,0,11,2,15,1,切尔西,1
0.466667,21,1,2,31,9,0,92,59,7,8,1,2,8,12,0,3,0.745455,330,0.400445,6.604286,0,16,6,14,19,水晶宫,0
0.44898,22,2,0,13,12,0,108,75,14,12,2,3,5,10,6,4,0.77887,407,0.471101,6.593571,0,11,4,18,16,西汉姆联,3
0.55,22,0,1,27,13,0,93,64,10,9,0,2,9,9,1,2,0.783784,296,0.380282,6.534286,0,11,5,15,4,纽卡斯尔,1
0.352941,12,1,1,18,9,0,103,59,9,10,1,2,12,5,4,0,0.801354,443,0.466466,6.407143,1,9,2,9,208,伯恩茅斯,2
0.489362,23,0,0,14,4,1,141,98,11,12,0,2,5,13,0,0,0.760598,401,0.573092,6.340714,0,18,7,20,14,埃弗顿,3
0.574074,31,0,0,23,6,1,138,96,13,14,0,3,1,11,2,2,0.762626,396,0.618911,6.236429,0,15,4,11,207,沃特福德,1
0.45,9,0,1,11,7,0,153,114,1,9,0,2,7,7,1,2,0.840611,458,0.525862,6.146429,0,7,0,11,263,布莱顿,2
